prompt_id,prompt
0,"gothic vault boss, white stone carving, red heraldic shield, silver fess, golden scallop shells, pointed arch tracery, trefoil motifs, ribbed vault intersection, 15th-century gothic architecture, medieval ceiling detail, pilgrimage symbol, heraldic ceiling boss, ecclesiastical stonework"
1,"repurposed gothic church interior, pointed rib vaults, lancet stained glass windows, worn stone walls, raised platforms, modern lighting, late gothic architecture, sacred space adapted, gothic arches, aged masonry, medieval church reused, vaulted nave, contemporary exhibition space"
2,"15th century gothic side chapel, stone altar on granite platform, lancet stained glass window, geometric tracery, grisaille glass, deep splayed frame, trefoils and mouchettes, limestone plastered wall, gothic piscina niche, subdued medieval lighting, french gothic oratory"
3,"Late gothic rural parish church, single nave, timber barrel vault ceiling, exposed wooden beams, pale stone walls, stone altar, lancet stained glass windows, pointed arches, rustic limestone interior, wooden pews, central stone aisle, wall pulpit, gothic devotional statues, medieval church lighting"
4,"rural late gothic chapel interior, barrel-vaulted wooden ceiling, exposed timber ribs, transverse tie beams, silvery aged wood, stone walls, narrow arched windows, medieval vernacular architecture, simple ecclesiastical space, faded heraldic bosses, minimal ornementation, early gothic rural church"
5,"flemish gothic chapel, bishop funeral, gothic apse, chasse reliquary on altar, clerics in vestments, red chasuble, mitre, medieval nobility, burgundian attire, stained glass windows, early netherlandish realism, sacred ceremony, richly decorated interior, gothic statues, vertical architecture"
6,"15th-century gothic chapel, bishop in liturgical vestments, carved polychrome retable, gothic niches, kneeling noble donor, angel parting curtain, oriental carpet, embroidered altar cloth, early netherlandish painting, religious ceremony, pointed arches, sacred gothic architecture, high realism, divine mass scene, sculpted saints"
7,"French gothic quadripartite rib vault, pointed arches, pale limestone, circular boss with floral motif, 15th-century gothic architecture, intersecting ribs, austere gothic style, medieval vaulting, clean stone geometry, vertical emphasis"
8,"flamboyant gothic stone doorway, ogee arch with foliate tracery, heraldic shield with ermine, openwork pinnacle finial, deep arch moldings, pale limestone wall, flamboyant gothic ornament, crocketed detailing, french late gothic architecture, vibrant stained glass window, religious scene glass, vertical gothic design"
9,"flamboyant gothic doorway, ogee arch with foliate tracery, heraldic shield with ermine, pinnacle finial, layered moldings, pale limestone wall, dark wooden panel door, central iron knocker, clustered colonnettes, vertical gothic shafts, french late gothic architecture, ecclesiastical entrance"
